Straßenbahn;tramway
abordnen;déléguer
Diamant;diamant
Eiland;île
Besen;balai
zuschließen;fermer à clé
Kaprize;caprice
Advent;avent
schluchzen;hoqueter
Fauteuil;fauteuil
Schacht;puits de mine
Engel;ange
Kanon;canon
bereuen;se repentir
Freier;amant
Feuer;feu
Impuls;incitation
sofort;tout de suite
Manko;défaut
erwägen;méditer
Gemeinde;société
verzieren;garnir
Abgabe;impôt
alles;tout
raffen;agrafer
walten;disposer de
Kompagnie;compagnie
Haken;crochet
König;roi
Krampe;parenthèse
Bau;bâtiment
Uterus;utérus
Feder;plume
Amt;fonction
ventilieren;aérer
Drehpunkt;pivot
Redensart;phrase
Optiker;opticien
vor;avant
der deine;vôtre
dressieren;dresser
Block;bloc
Erbse;pois
rechtgläubig;orthodoxe
Pflaster;pavé
Paneel;lambris
reinlich;pur
liquid;liquide
Atheist;athée
schüttern;secouer
Uniform;uniforme
Kuckuck;coucou
erschlagen;abattre
nachsehen;vérifier
reduzieren;réduire
an Stelle von;au lieu de
bemitleiden;plaindre
Schlaf;sommeil
Auerhahn;grand tétras
schelten;insulter
Adjunkt;adjoint
Dienstgehilfe;adjoint
Eberraute;citronelle
Wolle;laine
leicht berühren;effleurer
Diskus;disque
amtlich;oficiel
Zettel;carte
à;à raison de
Stuhl;chaise
Palast;palais
Vater;père
angehören;appartenir
Ratschlag;conseil
Adresse;adresse
ergeben;dévoué
Lawine;avalanche
sich anstrengen;se démener
daneben;près
gflechten;tisser
glauben;croire
in Verwunderung setzen;étonner
Bauer;cage
Metall;métal
neu;frais
Tribunal;tribunal
Eichhörnchen;écureuil
Karzer;cachot
Tasse;tasse
drollig;comique
Geschwür;ulcère
ha;ah
Berufssänger;chanteur
zuvor;auparavant
Exzeß;excès
verausgaben;dépenser
Burgund;la Bourgogne
häkeln;accrocher
Abstufung;nuance
Ölbaum;olivier
Zufluß;marée haute
Embryo;embryon
mein;mon
Provinz;province
vorfinden;trouver
untergehen;périr
reiten;monter à cheval
dagegen;mais
Front;front
Flügel;aile
Kaufmann;commerçant
Aloe;aloès
Wollust;volupté
Vase;pot
anhänglich;attaché
Gehirn;cervelle
komisch;comique
Tat;action
Gänseblume;marguerite
Point;point
Vorderseite;front
Gelenkband;charnière
Lade;tiroir
Fläschen;flacon
besorglich;dangereux
Streichholz;allumette
anbrennen;brûler
stricken;tricoter
Ziffer;chiffre
Testament;testament
immer;constamment
Schnabel;bec
wüste;désert
Ausdehnung;dimension
tragen;porter
Major;commandant
Zink;zinc
einfach;simple
überreden;convaincre
danach;alors
berühmt;glorieux
zimmern;charpenter
streichen;tirer un trait
irgendetwas;quelque chose
Kamin;cheminée
Apfelbaum;pommier
einigen;unir
Schnee;neige
Schuld;dette
erzählen;conter
über;au-dessus de
Haar;poil
bleiben;rester
Eintritt;entrée
Manie;toquade
Primel;primevère
dir;tu
Schuster;cordonnier
sammeln;collectionner
in Anspruch nehmen;occuper
rutschen;glisser
Bagatelle;bagatelle
Schield;enseigne
ephemär;éphémère
erst;ne ... que
brausen;bouillir
überraschen;surprendre
Besteck;récipient
Wachstum;accroissement
Dielung;plancher
Asche;cendre
klimmen;grimper
Schema;schéma
Antilope;antilope
Ader;veine
Hügel;colline
Novelle;nouvelle
versuchen;essayer
stechen;piquer
anbrechen;commencer
Geis;chèvre
Nordsee;mer du Nord
Zuspruch;sommation
erschaudern;tressaillir
Rückgrat;épine dorsale
Telegramm;télégramme
ratgeben;conseiller
schleppen;traîner
Triumph;triomphe
prunken;parader
aus jedem Grunde;pour toutes sortes de raisons
adressieren;adresser
abgeschmackt;absurde
Fleiß;application
zweifach;double
Stachelbeere;groseille
Gottesdienst;messe
verpachten;affermer
erwählen;choisir
Rahm;crème
backen;frire
raspeln;râper
daher;c'est pourquoi
Geschäftszimmer;bureau
Pate;parrain
Klinge;lame tranchante
Fußsohle;plante
Laterne;lanterne
Kanal;canal
ausrücken;descendre
zureden;admonester
Pastete;pâté
Satz;phrase
irgend eines;de quelqu'un
fahren;aller
rauh;rustique
Olive;olive
Maske;masque
widersinnig;absurde
Augenblick;moment
Gelände;territoire
im Recht;qui a raison
Schlange;serpent
prüfen;essayer
Hirn;cerveau
Pessimismus;pessimisme
Eilbote;courrier
schwedisch;suédois
verweilen;demeurer
erben;hériter
Spektakel;spectacle
sechzehn;seize
Korkzieher;tire-bouchon
Busen;sein
Sprache;langage
Gespons;mari
Glaubenssatz;dogme
Frau;femme
denn;car
Gewalt;autorité
Passion;passion
Kreuz;croix
Salon;salon
Korsage;corsage
Schreck;effroi
eintreten;entrer dans
kuppeln;coupler
ausbessern;rapiécer
Eisenbahn;chemin de fer
flektieren;courber
Faseole;haricot
gnädig;favorable
adieu;adieu
dies;ceci
verderben;s'abîmer
zugleich;en même temps
begierig;avide
Punkt;point
abhängen;dépendre
Grenze;frontière
Bezirk;rond
Papagei;perroquet
sprechen;parler
zerknüllen;froisser
gelegen;commode
dingen;embaucher
widerstandsfähig;robuste
Intrigue;intrigue
reflektieren;réfléchir
Bordbrett;planche
schleifen;aiguiser
Hausschlange;couleuvre
Zottel-;poilu
Beweis;argument
Gegensatz;contraire
wählen;choisir
heil;sain
Gerippe;squelette
bemerken;remarquer
Markt;marché
vermahnen;exhorter
Andenken;souvenir
weise;sage
Angelhaken;hameçon
weilen;demeurer
Objekt;objet
beschreiben;décrire
Baumrinde;écorce
Zusage;accueil
Lauch;ail
Materie;matière
Fluß;fleuve
ersuchen;prier
verwickelt machen;compliquer
Manier;manière
Streit;conflit
Harke;râteau
Regierung;commandement
ruhen;se reposer
Zahnfleisch;gencive
Topf;pot
Notar;notaire
Eimer;seau
erstickend;étouffant
gereuen;se repentir
husten;tousser
Geschwindigkeit;allure
ach;ah
Akazie;acacia
schwingen;brandir
hold;cher
Schreibmaschine;machine à écrire
glorreich;glorieux
klug;sensé
Birne;poire
Kohlrübe;navet
Akte;acte
Schwelle;seuil
weil;parce que
Territorium;territoire
Einschnitt;rainure
Abzug;départ
Wohlgefallen;plaisir
baldig;bientôt
Bündel;paquet
Restaurant;restaurant
Apostel;apôtre
wägen;peser
Umhang;manteau
stecken;planter
Anarchie;anarchie
redigieren;rédiger
Fraktion;parti
Bison;bison
Gehalt;salaire
zottig;poilu
Schankraum;bar
Terrasse;terrasse
außerhalb;en dehors de
Schraubenschlüssel;clef
endlich;enfin
glücklig;heureux
Prolog;prologue
Banderole;banderole
arbeiten;travailler
Kolben;piston
erfahren;experimenté
Führer;contrôleur
erwidern;répondre
Wandbrett;planche
Teufel;diable
ausleeren;vider
Verließ;prison
genug;assez
Aprikose;abricot
ausschließen;exempter
heucheln;agir en hypocrite
sich verheiraten;se marier
Lachs;saumon
Bande;bande
Benzin;essence
ein;une
Konfitüre;confiture
schlachten;abattre
Abendland;ouest
Energie;énergie
Mut;courage
Charakter;caractère
Motor;moteur
Zirkel;compas
umringen;entourer
Skrupel;scrupule
Ei;oeuf
Ur;aurochs
Efeu;lierre
um ... herum;autour
Gelenk;articulation
weisen;montrer
sich beziehen;être en relation avec
Lust;désir
Sahne;crème
unbeschränkt;absolu
Gewissen;conscience
Wurst;saucisse
Beschlagnahme;saisie
Mark;cachet
abonnieren;s'abonner
läuten;résonner
Gesetz;loi
Klasse;classe
sich setzen;asseoir
daß;que
spritzen;jaillir
unterhalb;dessous
abwesend;absent
Beihilfe;aide
prostituieren;prostituer
jucken;démanger
Fenster;fenêtre
verkehren;être en relation avec
Meister;maître
Futter;aliment
Centime;centime
Bäcker;boulanger
Jahreszeit;saison
folgsam;docile
Hundebluhme;pissenlit
Andrift;incitation
Abgrund;abîme
erscheinen;apparaître
Elend;misère
aufregen;exciter
befriedigen;contenter
Kabeljau;morue
bewunderenswert;admirable
quer mitten;à travers
jetzt;maintenant
Flut;marée haute
Gleichnis;comparaison
Arzenei;médicament
Beschreibung;description
Parfüm;parfum
Riff;récif
Violincello;violoncelle
Estrade;tenue
spezial;spécial
Pappe;carton
hinneigen;pencher
wickeln;emmailloter
ausgenommen;hormis
verfeinern;raffiner
härten;durcir
Revolution;révolution
bewaffnen;armer
Schach;échec
bereitwillig;volontiers
Wange;joue
